Time,VIB57,VIB58,VIB59
13:50:10:738,0.42,0.7542,1.5342
13:50:10:742,0.4164,0.7514,1.5318
13:50:10:746,0.4192,0.7534,1.5326
13:50:10:750,0.4192,0.7518,1.535
13:50:10:753,0.4236,0.7518,1.5342
13:50:10:757,0.42,0.7526,1.5322
13:50:10:761,0.4168,0.7518,1.533
13:50:10:765,0.42,0.7506,1.5354
13:50:10:769,0.4204,0.7502,1.529
13:50:10:773,0.4212,0.749,1.533
13:50:10:777,0.4192,0.749,1.5346
13:50:10:781,0.4188,0.749,1.5314
13:50:10:785,0.4204,0.7494,1.5282
13:50:10:789,0.4192,0.7506,1.5318
13:50:10:792,0.4196,0.7514,1.5298
13:50:10:796,0.422,0.751,1.5274
13:50:10:800,0.4232,0.7534,1.5266
13:50:10:804,0.416,0.7502,1.5254
13:50:10:808,0.4192,0.751,1.5286
13:50:10:812,0.4204,0.7538,1.5282
13:50:10:816,0.4172,0.7522,1.5298
13:50:10:820,0.4184,0.7526,1.529
13:50:10:824,0.4216,0.7534,1.527
13:50:10:828,0.4208,0.7502,1.531
13:50:10:832,0.4196,0.7502,1.5294
13:50:10:835,0.4204,0.7522,1.529
13:50:10:839,0.4216,0.7494,1.529
13:50:10:843,0.4208,0.7482,1.5254
13:50:10:847,0.4232,0.7486,1.5258
13:50:10:851,0.4196,0.7498,1.5298
13:50:10:855,0.4212,0.7546,1.5234
13:50:10:859,0.4208,0.7534,1.525
13:50:10:863,0.4184,0.7526,1.5266
13:50:10:867,0.4192,0.7534,1.5254
13:50:10:871,0.4228,0.7538,1.5262
13:50:10:875,0.4216,0.7518,1.5266
13:50:10:878,0.416,0.7542,1.5294
13:50:10:882,0.4212,0.7538,1.525
13:50:10:886,0.4208,0.7534,1.5222
13:50:10:890,0.4208,0.7526,1.5226
13:50:10:894,0.4176,0.7518,1.527
13:50:10:898,0.4208,0.7518,1.5242
13:50:10:902,0.4224,0.7534,1.5294
13:50:10:906,0.4204,0.7502,1.5266
13:50:10:910,0.4176,0.7478,1.5294
13:50:10:914,0.416,0.7498,1.521
13:50:10:917,0.4192,0.7486,1.5222
13:50:10:921,0.4172,0.747,1.5234
13:50:10:925,0.4204,0.7486,1.5226
13:50:10:929,0.4188,0.7502,1.525
13:50:10:933,0.4184,0.7482,1.5222
13:50:10:937,0.4196,0.7486,1.525
13:50:10:941,0.418,0.7474,1.5206
13:50:10:945,0.424,0.7498,1.5182
13:50:10:949,0.4172,0.7502,1.5206
13:50:10:953,0.4196,0.7494,1.5206
13:50:10:957,0.418,0.7502,1.523
13:50:10:960,0.4196,0.7494,1.517
13:50:10:964,0.4168,0.751,1.5222
13:50:10:968,0.42,0.7474,1.523
13:50:10:972,0.4156,0.751,1.5238
13:50:10:976,0.418,0.7494,1.5254
13:50:10:980,0.4152,0.751,1.525
13:50:10:984,0.42,0.7446,1.5274
13:50:10:988,0.4208,0.749,1.5254
13:50:10:992,0.4208,0.7462,1.5262
13:50:10:996,0.4184,0.747,1.5262
13:50:11:000,0.4224,0.7478,1.5254
13:50:11:003,0.4212,0.7474,1.5222
13:50:11:007,0.4168,0.747,1.5266
13:50:11:011,0.4196,0.7466,1.5254
13:50:11:015,0.4196,0.747,1.5234
13:50:11:019,0.4184,0.7474,1.5246
13:50:11:023,0.4212,0.7494,1.5286
13:50:11:027,0.4216,0.7498,1.5266
13:50:11:031,0.4224,0.7486,1.5262
13:50:11:035,0.422,0.7486,1.525
13:50:11:039,0.422,0.745,1.5254
13:50:11:042,0.4164,0.7482,1.5246
13:50:11:046,0.4236,0.7478,1.5198
13:50:11:050,0.4152,0.7462,1.5226
13:50:11:054,0.4184,0.7482,1.521
13:50:11:058,0.4192,0.7482,1.5234
13:50:11:062,0.4192,0.7466,1.527
13:50:11:066,0.4196,0.7454,1.5282
13:50:11:070,0.4168,0.743,1.5286
13:50:11:074,0.42,0.7442,1.5238
13:50:11:078,0.4212,0.7454,1.5266
13:50:11:082,0.4144,0.7466,1.527
13:50:11:085,0.4224,0.7442,1.525
13:50:11:089,0.4196,0.7458,1.525
13:50:11:093,0.4212,0.7458,1.5238
13:50:11:097,0.4192,0.747,1.523
13:50:11:101,0.4176,0.749,1.521
13:50:11:105,0.4236,0.7478,1.5222
13:50:11:109,0.4196,0.7498,1.5206
13:50:11:113,0.4164,0.7506,1.5254
13:50:11:117,0.4192,0.751,1.5202
13:50:11:121,0.4168,0.7514,1.5238
13:50:11:125,0.4164,0.7502,1.529
13:50:11:128,0.4224,0.7506,1.5238
13:50:11:132,0.4172,0.7478,1.5234
13:50:11:136,0.4188,0.749,1.5282
13:50:11:140,0.418,0.7494,1.5254
13:50:11:144,0.4208,0.7498,1.5246
13:50:11:148,0.4208,0.7482,1.5254
13:50:11:152,0.4168,0.7442,1.529
13:50:11:156,0.4212,0.749,1.529
13:50:11:160,0.4208,0.7482,1.5318
13:50:11:164,0.4208,0.7454,1.531
13:50:11:167,0.4208,0.7474,1.5354
13:50:11:171,0.4188,0.7458,1.5342
13:50:11:175,0.4212,0.7478,1.5334
13:50:11:179,0.4192,0.7434,1.5358
13:50:11:183,0.4224,0.747,1.537
13:50:11:187,0.424,0.7458,1.5358
13:50:11:191,0.4184,0.7466,1.5366
13:50:11:195,0.4188,0.7474,1.5378
13:50:11:199,0.4212,0.747,1.5366
13:50:11:203,0.4224,0.749,1.5314
13:50:11:207,0.42,0.7514,1.533
13:50:11:210,0.4184,0.7498,1.5374
13:50:11:214,0.4224,0.7486,1.5366
13:50:11:218,0.4224,0.7498,1.5334
13:50:11:222,0.4196,0.7438,1.5374
13:50:11:226,0.4204,0.7502,1.5382
13:50:11:230,0.4172,0.747,1.5374
13:50:11:234,0.422,0.7486,1.5342
13:50:11:238,0.4204,0.7438,1.5378
13:50:11:242,0.4184,0.7462,1.537
13:50:11:246,0.4224,0.747,1.5366
13:50:11:250,0.4148,0.7466,1.5318
13:50:11:253,0.4232,0.7454,1.5366
13:50:11:257,0.4204,0.749,1.5306
13:50:11:261,0.4192,0.7518,1.5294
13:50:11:265,0.4192,0.7486,1.5298
13:50:11:269,0.4184,0.7506,1.533
13:50:11:273,0.4216,0.749,1.5322
13:50:11:277,0.4192,0.7482,1.5322
13:50:11:281,0.422,0.7474,1.5334
13:50:11:285,0.4204,0.7502,1.535
13:50:11:289,0.4224,0.7502,1.5306
13:50:11:292,0.4196,0.749,1.5306
13:50:11:296,0.4192,0.749,1.5322
13:50:11:300,0.4184,0.7514,1.5322
13:50:11:304,0.4204,0.7478,1.5274
13:50:11:308,0.4176,0.7486,1.5314
13:50:11:312,0.4184,0.747,1.5294
13:50:11:316,0.4212,0.7482,1.5302
13:50:11:320,0.4184,0.7466,1.5266
